item_id,benchmark,condition,selected_candidate_indices
herbench:AC_356,herbench,plain_dpp_8,"[0, 5, 8, 26, 29, 31, 36, 43]"
herbench:AC_3767,herbench,mdp3_8,"[3, 4, 7, 14, 26, 44, 47, 52]"
herbench:AC_3767,herbench,plain_dpp_8,"[3, 4, 7, 14, 26, 36, 47, 52]"
herbench:AC_3833,herbench,mdp3_8,"[10, 22, 27, 29, 39, 52, 56, 63]"
herbench:AC_3833,herbench,plain_dpp_8,"[8, 19, 25, 37, 39, 52, 56, 63]"
herbench:AC_477,herbench,mdp3_8,"[15, 17, 20, 29, 43, 55, 59, 61]"
herbench:AC_477,herbench,plain_dpp_8,"[15, 17, 30, 43, 44, 59, 60, 61]"
herbench:AC_5427,herbench,mdp3_8,"[15, 17, 24, 33, 37, 42, 52, 55]"
herbench:AC_5427,herbench,plain_dpp_8,"[18, 20, 24, 33, 37, 42, 52, 55]"
herbench:AC_5732,herbench,mdp3_8,"[1, 2, 3, 30, 32, 43, 45, 56]"
herbench:AC_5732,herbench,plain_dpp_8,"[1, 2, 3, 5, 32, 42, 44, 45]"
herbench:AC_6235,herbench,mdp3_8,"[4, 9, 19, 22, 38, 50, 57, 60]"
herbench:AC_6235,herbench,plain_dpp_8,"[4, 5, 9, 19, 22, 50, 57, 60]"
herbench:AC_6478,herbench,mdp3_8,"[2, 16, 17, 23, 36, 47, 57, 58]"
herbench:AC_6478,herbench,plain_dpp_8,"[2, 13, 16, 23, 39, 40, 44, 56]"
herbench:AC_7269,herbench,mdp3_8,"[3, 22, 27, 28, 31, 47, 48, 62]"
herbench:AC_7269,herbench,plain_dpp_8,"[10, 22, 27, 28, 31, 48, 50, 62]"
herbench:AC_750,herbench,mdp3_8,"[6, 13, 21, 24, 28, 34, 45, 57]"
herbench:AC_750,herbench,plain_dpp_8,"[6, 13, 21, 24, 28, 30, 32, 45]"
herbench:AC_7878,herbench,mdp3_8,"[0, 7, 11, 29, 36, 42, 56, 62]"
herbench:AC_7878,herbench,plain_dpp_8,"[0, 5, 7, 11, 27, 29, 36, 42]"
herbench:AC_8325,herbench,mdp3_8,"[4, 9, 10, 28, 30, 42, 44, 58]"
herbench:AC_8325,herbench,plain_dpp_8,"[9, 10, 15, 21, 30, 42, 44, 58]"
herbench:AC_8327,herbench,mdp3_8,"[4, 16, 21, 29, 35, 47, 48, 63]"
herbench:AC_8327,herbench,plain_dpp_8,"[2, 4, 29, 35, 47, 48, 62, 63]"
herbench:AC_8472,herbench,mdp3_8,"[5, 9, 10, 19, 22, 38, 57, 60]"
herbench:AC_8472,herbench,plain_dpp_8,"[5, 9, 10, 19, 22, 47, 57, 60]"
herbench:AC_8518,herbench,mdp3_8,"[11, 19, 28, 31, 34, 42, 56, 63]"
herbench:AC_8518,herbench,plain_dpp_8,"[1, 11, 18, 19, 31, 34, 42, 56]"
herbench:AC_8531,herbench,mdp3_8,"[0, 4, 10, 26, 43, 49, 55, 58]"
herbench:AC_8531,herbench,plain_dpp_8,"[0, 10, 25, 34, 43, 49, 55, 58]"
herbench:AC_8561,herbench,mdp3_8,"[2, 4, 9, 21, 23, 34, 35, 48]"
herbench:AC_8561,herbench,plain_dpp_8,"[2, 4, 5, 9, 23, 34, 35, 48]"
herbench:AC_8562,herbench,mdp3_8,"[3, 16, 23, 24, 32, 47, 60, 61]"
herbench:AC_8562,herbench,plain_dpp_8,"[16, 17, 24, 29, 35, 47, 60, 61]"
herbench:AC_8569,herbench,mdp3_8,"[3, 7, 16, 23, 32, 47, 49, 60]"
herbench:AC_8569,herbench,plain_dpp_8,"[6, 14, 16, 23, 45, 47, 60, 61]"
herbench:AC_8581,herbench,mdp3_8,"[2, 3, 32, 34, 44, 48, 53, 55]"
herbench:AC_8581,herbench,plain_dpp_8,"[2, 3, 5, 32, 34, 44, 53, 55]"
herbench:AC_8584,herbench,mdp3_8,"[5, 10, 21, 30, 32, 43, 45, 52]"
herbench:AC_8584,herbench,plain_dpp_8,"[5, 10, 21, 30, 32, 43, 45, 52]"
herbench:AC_8596,herbench,mdp3_8,"[0, 3, 20, 24, 34, 47, 61, 63]"
herbench:AC_8596,herbench,plain_dpp_8,"[3, 18, 20, 24, 27, 31, 47, 63]"
herbench:AC_8623,herbench,mdp3_8,"[11, 18, 34, 39, 47, 56, 57, 60]"
herbench:AC_8623,herbench,plain_dpp_8,"[5, 11, 19, 35, 47, 56, 57, 60]"
herbench:AC_8630,herbench,mdp3_8,"[3, 7, 10, 13, 18, 31, 41, 62]"
herbench:AC_8630,herbench,plain_dpp_8,"[3, 7, 10, 11, 13, 18, 31, 62]"
herbench:AC_8634,herbench,mdp3_8,"[3, 5, 10, 15, 30, 42, 53, 58]"
herbench:AC_8634,herbench,plain_dpp_8,"[3, 5, 9, 10, 15, 30, 42, 58]"
herbench:AC_8639,herbench,mdp3_8,"[3, 7, 13, 17, 18, 44, 54, 62]"
herbench:AC_8639,herbench,plain_dpp_8,"[3, 7, 10, 13, 17, 18, 44, 62]"
herbench:AC_8658,herbench,mdp3_8,"[7, 12, 26, 28, 36, 45, 48, 55]"
herbench:AC_8658,herbench,plain_dpp_8,"[1, 7, 32, 36, 48, 52, 55, 59]"
herbench:AC_8670,herbench,mdp3_8,"[7, 12, 25, 28, 34, 52, 55, 59]"
herbench:AC_8670,herbench,plain_dpp_8,"[7, 12, 32, 36, 39, 52, 55, 59]"
herbench:AC_8677,herbench,mdp3_8,"[8, 21, 25, 31, 35, 38, 45, 55]"
herbench:AC_8677,herbench,plain_dpp_8,"[8, 21, 25, 32, 35, 38, 45, 55]"
herbench:AC_8701,herbench,mdp3_8,"[2, 7, 16, 27, 38, 48, 51, 60]"
herbench:AC_8701,herbench,plain_dpp_8,"[0, 2, 7, 11, 16, 38, 45, 60]"
herbench:AC_8709,herbench,mdp3_8,"[5, 17, 19, 30, 31, 43, 52, 61]"
herbench:AC_8709,herbench,plain_dpp_8,"[7, 17, 19, 29, 31, 35, 43, 47]"
herbench:AC_8729,herbench,mdp3_8,"[10, 17, 18, 21, 31, 38, 42, 54]"
herbench:AC_8729,herbench,plain_dpp_8,"[10, 17, 18, 21, 31, 37, 42, 53]"
herbench:AC_8731,herbench,mdp3_8,"[1, 9, 23, 32, 37, 47, 50, 51]"
herbench:AC_8731,herbench,plain_dpp_8,"[1, 9, 32, 37, 47, 50, 51, 61]"
herbench:AC_8743,herbench,mdp3_8,"[2, 7, 9, 15, 22, 38, 43, 46]"
herbench:AC_8743,herbench,plain_dpp_8,"[2, 7, 9, 15, 22, 43, 44, 58]"
herbench:AC_8753,herbench,mdp3_8,"[1, 17, 26, 30, 43, 45, 47, 61]"
herbench:AC_8753,herbench,plain_dpp_8,"[1, 17, 18, 29, 43, 45, 47, 61]"
herbench:AC_8768,herbench,mdp3_8,"[0, 2, 17, 28, 35, 36, 39, 59]"
herbench:AC_8768,herbench,plain_dpp_8,"[0, 2, 28, 36, 39, 46, 59, 63]"
herbench:AC_8779,herbench,mdp3_8,"[0, 2, 17, 28, 36, 39, 59, 63]"
herbench:AC_8779,herbench,plain_dpp_8,"[0, 2, 28, 36, 39, 46, 59, 63]"
herbench:AC_8791,herbench,mdp3_8,"[1, 12, 19, 27, 35, 42, 59, 63]"
herbench:AC_8791,herbench,plain_dpp_8,"[1, 2, 8, 19, 30, 35, 60, 63]"
herbench:AC_8795,herbench,mdp3_8,"[1, 7, 12, 19, 27, 35, 57, 63]"
herbench:AC_8795,herbench,plain_dpp_8,"[1, 7, 12, 19, 27, 35, 57, 63]"
herbench:AC_8800,herbench,mdp3_8,"[1, 7, 12, 26, 30, 35, 42, 63]"
herbench:AC_8800,herbench,plain_dpp_8,"[1, 7, 11, 26, 33, 35, 42, 63]"
herbench:AC_8803,herbench,mdp3_8,"[16, 18, 28, 31, 33, 50, 60, 61]"
herbench:AC_8803,herbench,plain_dpp_8,"[1, 11, 18, 28, 31, 33, 60, 61]"
herbench:AC_8863,herbench,mdp3_8,"[8, 9, 16, 24, 32, 39, 41, 53]"
herbench:AC_8863,herbench,plain_dpp_8,"[8, 9, 16, 24, 36, 39, 47, 53]"
herbench:AC_8868,herbench,mdp3_8,"[3, 8, 30, 32, 39, 44, 53, 60]"
herbench:AC_8868,herbench,plain_dpp_8,"[3, 8, 24, 32, 39, 44, 53, 60]"
herbench:AC_8882,herbench,mdp3_8,"[2, 6, 13, 14, 21, 28, 37, 57]"
herbench:AC_8882,herbench,plain_dpp_8,"[2, 6, 10, 13, 14, 21, 28, 37]"
herbench:AC_8893,herbench,mdp3_8,"[1, 5, 8, 19, 30, 37, 54, 60]"
herbench:AC_8893,herbench,plain_dpp_8,"[1, 8, 19, 30, 36, 37, 39, 54]"
herbench:AC_8898,herbench,mdp3_8,"[12, 13, 21, 24, 28, 32, 37, 45]"
herbench:AC_8898,herbench,plain_dpp_8,"[5, 13, 14, 21, 22, 24, 28, 37]"
herbench:AC_8916,herbench,mdp3_8,"[1, 7, 8, 29, 30, 36, 37, 60]"
herbench:AC_8916,herbench,plain_dpp_8,"[1, 7, 8, 29, 30, 36, 37, 60]"
herbench:AC_8946,herbench,mdp3_8,"[5, 18, 20, 26, 27, 34, 47, 49]"
herbench:AC_8946,herbench,plain_dpp_8,"[0, 5, 18, 19, 20, 27, 34, 47]"
herbench:AC_8991,herbench,mdp3_8,"[1, 22, 23, 28, 31, 45, 48, 63]"
herbench:AC_8991,herbench,plain_dpp_8,"[22, 27, 28, 31, 38, 45, 48, 63]"
herbench:AC_9028,herbench,mdp3_8,"[2, 5, 16, 23, 48, 57, 58, 62]"
herbench:AC_9028,herbench,plain_dpp_8,"[2, 4, 25, 47, 48, 57, 62, 63]"
herbench:AC_9031,herbench,mdp3_8,"[8, 10, 12, 17, 18, 33, 41, 53]"
herbench:AC_9031,herbench,plain_dpp_8,"[8, 10, 12, 17, 18, 33, 41, 53]"
herbench:AC_993,herbench,mdp3_8,"[10, 20, 21, 24, 33, 34, 37, 52]"
herbench:AC_993,herbench,plain_dpp_8,"[10, 18, 20, 24, 33, 34, 37, 52]"
herbench:AC_996,herbench,mdp3_8,"[8, 10, 17, 24, 29, 33, 41, 48]"
herbench:AC_996,herbench,plain_dpp_8,"[4, 18, 20, 24, 29, 33, 45, 55]"
herbench:ASII_10277,herbench,mdp3_8,"[3, 5, 23, 37, 51, 58, 61, 62]"
herbench:ASII_10277,herbench,plain_dpp_8,"[1, 7, 32, 35, 41, 50, 51, 61]"
herbench:ASII_10481,herbench,mdp3_8,"[3, 16, 25, 28, 33, 49, 60, 63]"
herbench:ASII_10481,herbench,plain_dpp_8,"[11, 16, 25, 28, 31, 33, 49, 60]"
herbench:ASII_10959,herbench,mdp3_8,"[3, 6, 9, 24, 31, 38, 39, 40]"
herbench:ASII_10959,herbench,plain_dpp_8,"[3, 6, 9, 12, 24, 31, 37, 40]"
herbench:ASII_11121,herbench,mdp3_8,"[5, 9, 10, 24, 30, 42, 44, 58]"
herbench:ASII_11121,herbench,plain_dpp_8,"[5, 9, 10, 15, 24, 30, 44, 58]"
herbench:ASII_11213,herbench,mdp3_8,"[0, 11, 25, 30, 34, 49, 55, 58]"
herbench:ASII_11213,herbench,plain_dpp_8,"[0, 11, 25, 34, 47, 49, 55, 58]"
herbench:ASII_11569,herbench,mdp3_8,"[1, 2, 4, 16, 22, 47, 52, 60]"
herbench:ASII_11569,herbench,plain_dpp_8,"[1, 2, 10, 16, 26, 47, 52, 60]"
herbench:ASII_11726,herbench,mdp3_8,"[5, 19, 25, 27, 29, 47, 52, 63]"
herbench:ASII_11726,herbench,plain_dpp_8,"[5, 19, 25, 27, 29, 39, 53, 63]"
herbench:ASII_12178,herbench,mdp3_8,"[3, 11, 14, 31, 44, 45, 54, 58]"
herbench:ASII_12178,herbench,plain_dpp_8,"[1, 3, 14, 31, 44, 45, 54, 58]"
herbench:ASII_12578,herbench,mdp3_8,"[0, 17, 28, 30, 37, 38, 59, 63]"
herbench:ASII_12578,herbench,plain_dpp_8,"[0, 2, 28, 30, 36, 43, 59, 63]"
herbench:ASII_12682,herbench,mdp3_8,"[0, 7, 21, 23, 25, 36, 39, 45]"
herbench:ASII_12682,herbench,plain_dpp_8,"[0, 1, 7, 21, 23, 25, 36, 55]"
herbench:ASII_12941,herbench,mdp3_8,"[0, 1, 7, 26, 30, 35, 60, 63]"
herbench:ASII_12941,herbench,plain_dpp_8,"[1, 7, 8, 26, 30, 35, 60, 63]"
herbench:ASII_13018,herbench,mdp3_8,"[13, 14, 21, 24, 27, 30, 40, 44]"
herbench:ASII_13018,herbench,plain_dpp_8,"[13, 14, 21, 24, 27, 30, 42, 44]"
herbench:ASII_13134,herbench,mdp3_8,"[3, 6, 9, 24, 31, 38, 39, 40]"
herbench:ASII_13134,herbench,plain_dpp_8,"[3, 6, 9, 12, 24, 31, 37, 40]"
herbench:ASII_13295,herbench,mdp3_8,"[0, 11, 25, 30, 34, 49, 55, 58]"
herbench:ASII_13295,herbench,plain_dpp_8,"[0, 11, 25, 34, 47, 49, 55, 58]"
herbench:ASII_13792,herbench,mdp3_8,"[7, 13, 14, 24, 34, 43, 52, 63]"
herbench:ASII_13792,herbench,plain_dpp_8,"[6, 7, 13, 14, 24, 36, 38, 52]"
herbench:ASII_14392,herbench,mdp3_8,"[3, 5, 23, 37, 51, 58, 61, 62]"
herbench:ASII_14392,herbench,plain_dpp_8,"[1, 7, 32, 35, 41, 50, 51, 61]"
herbench:ASII_14494,herbench,mdp3_8,"[3, 5, 23, 37, 51, 58, 61, 62]"
herbench:ASII_14494,herbench,plain_dpp_8,"[1, 7, 32, 35, 41, 50, 51, 61]"
herbench:ASII_14912,herbench,mdp3_8,"[3, 11, 14, 31, 44, 45, 54, 58]"
herbench:ASII_14912,herbench,plain_dpp_8,"[1, 3, 14, 31, 44, 45, 54, 58]"
herbench:ASII_14919,herbench,mdp3_8,"[0, 2, 8, 25, 28, 36, 43, 56]"
herbench:ASII_14919,herbench,plain_dpp_8,"[0, 1, 8, 28, 29, 36, 45, 56]"
herbench:ASII_14963,herbench,mdp3_8,"[8, 17, 26, 29, 30, 39, 53, 61]"
herbench:ASII_14963,herbench,plain_dpp_8,"[1, 8, 17, 26, 29, 39, 43, 58]"
herbench:ASII_15124,herbench,mdp3_8,"[0, 2, 3, 17, 44, 52, 55, 62]"
herbench:ASII_15124,herbench,plain_dpp_8,"[2, 3, 17, 44, 52, 55, 56, 62]"
herbench:ASII_15343,herbench,mdp3_8,"[8, 17, 26, 29, 30, 39, 53, 61]"
herbench:ASII_15343,herbench,plain_dpp_8,"[1, 8, 17, 26, 29, 39, 43, 58]"
herbench:ASII_15659,herbench,mdp3_8,"[5, 19, 25, 27, 29, 47, 52, 63]"
herbench:ASII_15659,herbench,plain_dpp_8,"[5, 19, 25, 27, 29, 39, 53, 63]"
herbench:ASII_15866,herbench,mdp3_8,"[0, 1, 2, 22, 36, 40, 48, 63]"
herbench:ASII_15866,herbench,plain_dpp_8,"[1, 2, 16, 22, 36, 40, 48, 63]"
herbench:ASII_16038,herbench,mdp3_8,"[0, 7, 21, 23, 25, 36, 39, 45]"
herbench:ASII_16038,herbench,plain_dpp_8,"[0, 1, 7, 21, 23, 25, 36, 55]"
herbench:ASII_16228,herbench,mdp3_8,"[0, 13, 14, 21, 30, 42, 59, 62]"
herbench:ASII_16228,herbench,plain_dpp_8,"[0, 9, 13, 19, 21, 42, 45, 58]"
herbench:ASII_16543,herbench,mdp3_8,"[6, 22, 23, 27, 31, 52, 55, 59]"
herbench:ASII_16543,herbench,plain_dpp_8,"[6, 22, 31, 36, 50, 52, 55, 59]"
herbench:ASII_16600,herbench,mdp3_8,"[6, 22, 23, 27, 31, 52, 55, 59]"
herbench:ASII_16600,herbench,plain_dpp_8,"[6, 22, 31, 36, 50, 52, 55, 59]"
herbench:ASII_16769,herbench,mdp3_8,"[8, 17, 26, 29, 30, 39, 53, 61]"
herbench:ASII_16769,herbench,plain_dpp_8,"[1, 8, 17, 26, 29, 39, 43, 58]"
herbench:ASII_16926,herbench,mdp3_8,"[0, 1, 2, 22, 36, 40, 48, 63]"
herbench:ASII_16926,herbench,plain_dpp_8,"[1, 2, 16, 22, 36, 40, 48, 63]"
herbench:ASII_16992,herbench,mdp3_8,"[1, 8, 25, 27, 32, 36, 37, 39]"
herbench:ASII_16992,herbench,plain_dpp_8,"[1, 15, 27, 32, 36, 37, 39, 54]"
herbench:ASII_17066,herbench,mdp3_8,"[0, 1, 12, 22, 31, 35, 52, 63]"
herbench:ASII_17066,herbench,plain_dpp_8,"[0, 1, 12, 13, 31, 37, 40, 52]"
herbench:ASII_17173,herbench,mdp3_8,"[1, 8, 25, 27, 32, 36, 37, 39]"
herbench:ASII_17173,herbench,plain_dpp_8,"[1, 15, 27, 32, 36, 37, 39, 54]"
herbench:ASII_17250,herbench,mdp3_8,"[4, 8, 11, 15, 18, 24, 44, 51]"
herbench:ASII_17250,herbench,plain_dpp_8,"[4, 8, 11, 18, 20, 24, 44, 51]"
herbench:ASII_17279,herbench,mdp3_8,"[3, 16, 24, 25, 32, 36, 39, 60]"
herbench:ASII_17279,herbench,plain_dpp_8,"[3, 24, 25, 32, 36, 39, 46, 60]"
herbench:ASII_17340,herbench,mdp3_8,"[3, 16, 24, 25, 32, 36, 39, 60]"
herbench:ASII_17340,herbench,plain_dpp_8,"[3, 24, 25, 32, 36, 39, 46, 60]"
herbench:ASII_17759,herbench,mdp3_8,"[10, 13, 23, 24, 45, 47, 60, 61]"
herbench:ASII_17759,herbench,plain_dpp_8,"[13, 14, 23, 24, 40, 47, 60, 61]"
herbench:ASII_17810,herbench,mdp3_8,"[5, 19, 25, 27, 29, 47, 52, 63]"
herbench:ASII_17810,herbench,plain_dpp_8,"[5, 19, 25, 27, 29, 39, 53, 63]"
herbench:ASII_17839,herbench,mdp3_8,"[0, 13, 14, 21, 30, 42, 59, 62]"
herbench:ASII_17839,herbench,plain_dpp_8,"[0, 9, 13, 19, 21, 42, 45, 58]"
herbench:ASII_17898,herbench,mdp3_8,"[0, 13, 14, 21, 30, 42, 59, 62]"
herbench:ASII_17898,herbench,plain_dpp_8,"[0, 9, 13, 19, 21, 42, 45, 58]"
herbench:ASII_17957,herbench,mdp3_8,"[10, 13, 23, 24, 45, 47, 60, 61]"
herbench:ASII_17957,herbench,plain_dpp_8,"[13, 14, 23, 24, 40, 47, 60, 61]"
herbench:ASII_18054,herbench,mdp3_8,"[0, 2, 3, 17, 44, 52, 55, 62]"
herbench:ASII_18054,herbench,plain_dpp_8,"[2, 3, 17, 44, 52, 55, 56, 62]"
herbench:ASII_18442,herbench,mdp3_8,"[0, 1, 12, 22, 31, 35, 52, 63]"
herbench:ASII_18442,herbench,plain_dpp_8,"[0, 1, 12, 13, 31, 37, 40, 52]"
herbench:ASII_18568,herbench,mdp3_8,"[2, 18, 24, 26, 31, 54, 55, 63]"
herbench:ASII_18568,herbench,plain_dpp_8,"[2, 3, 18, 20, 24, 54, 55, 63]"
herbench:ASII_18702,herbench,mdp3_8,"[0, 1, 12, 22, 31, 35, 52, 63]"
herbench:ASII_18702,herbench,plain_dpp_8,"[0, 1, 12, 13, 31, 37, 40, 52]"
herbench:ASII_18756,herbench,mdp3_8,"[6, 10, 18, 25, 31, 42, 49, 62]"
herbench:ASII_18756,herbench,plain_dpp_8,"[6, 10, 18, 25, 26, 31, 42, 62]"
herbench:ASII_18959,herbench,mdp3_8,"[5, 19, 25, 27, 29, 47, 52, 63]"
herbench:ASII_18959,herbench,plain_dpp_8,"[5, 19, 25, 27, 29, 39, 53, 63]"
herbench:ASII_18987,herbench,mdp3_8,"[10, 13, 23, 24, 45, 47, 60, 61]"
herbench:ASII_18987,herbench,plain_dpp_8,"[13, 14, 23, 24, 40, 47, 60, 61]"
herbench:ASII_19156,herbench,mdp3_8,"[2, 18, 24, 26, 31, 54, 55, 63]"
herbench:ASII_19156,herbench,plain_dpp_8,"[2, 3, 18, 20, 24, 54, 55, 63]"
herbench:ASII_19219,herbench,mdp3_8,"[2, 18, 24, 26, 31, 54, 55, 63]"
herbench:ASII_19219,herbench,plain_dpp_8,"[2, 3, 18, 20, 24, 54, 55, 63]"
herbench:ASII_19232,herbench,mdp3_8,"[4, 8, 11, 15, 18, 24, 44, 51]"
herbench:ASII_19232,herbench,plain_dpp_8,"[4, 8, 11, 18, 20, 24, 44, 51]"
herbench:ASII_2232,herbench,mdp3_8,"[4, 8, 11, 15, 18, 24, 44, 51]"
herbench:ASII_2232,herbench,plain_dpp_8,"[4, 8, 11, 18, 20, 24, 44, 51]"
herbench:ASII_2787,herbench,mdp3_8,"[8, 17, 26, 29, 30, 39, 53, 61]"
herbench:ASII_2787,herbench,plain_dpp_8,"[1, 8, 17, 26, 29, 39, 43, 58]"
herbench:ASII_2812,herbench,mdp3_8,"[3, 16, 25, 28, 33, 49, 60, 63]"
herbench:ASII_2812,herbench,plain_dpp_8,"[11, 16, 25, 28, 31, 33, 49, 60]"
herbench:ASII_2973,herbench,mdp3_8,"[0, 11, 25, 30, 34, 49, 55, 58]"
herbench:ASII_2973,herbench,plain_dpp_8,"[0, 11, 25, 34, 47, 49, 55, 58]"
herbench:ASII_3296,herbench,mdp3_8,"[8, 10, 14, 24, 33, 34, 41, 53]"
herbench:ASII_3296,herbench,plain_dpp_8,"[3, 8, 10, 14, 17, 34, 41, 53]"
herbench:ASII_5001,herbench,mdp3_8,"[0, 7, 21, 23, 25, 36, 39, 45]"
herbench:ASII_5001,herbench,plain_dpp_8,"[0, 1, 7, 21, 23, 25, 36, 55]"
herbench:ASII_5055,herbench,mdp3_8,"[0, 17, 28, 30, 37, 38, 59, 63]"
herbench:ASII_5055,herbench,plain_dpp_8,"[0, 2, 28, 30, 36, 43, 59, 63]"
herbench:ASII_5317,herbench,mdp3_8,"[9, 17, 19, 31, 46, 48, 59, 63]"
herbench:ASII_5317,herbench,plain_dpp_8,"[9, 19, 22, 31, 46, 48, 62, 63]"
herbench:ASII_5779,herbench,mdp3_8,"[3, 5, 23, 37, 51, 58, 61, 62]"
herbench:ASII_5779,herbench,plain_dpp_8,"[1, 7, 32, 35, 41, 50, 51, 61]"
herbench:ASII_6042,herbench,mdp3_8,"[3, 16, 25, 28, 33, 49, 60, 63]"
herbench:ASII_6042,herbench,plain_dpp_8,"[11, 16, 25, 28, 31, 33, 49, 60]"
herbench:ASII_6663,herbench,mdp3_8,"[5, 9, 10, 24, 30, 42, 44, 58]"
herbench:ASII_6663,herbench,plain_dpp_8,"[5, 9, 10, 15, 24, 30, 44, 58]"
herbench:ASII_7006,herbench,mdp3_8,"[6, 10, 18, 25, 31, 42, 49, 62]"
herbench:ASII_7006,herbench,plain_dpp_8,"[6, 10, 18, 25, 26, 31, 42, 62]"
herbench:ASII_7255,herbench,mdp3_8,"[1, 2, 4, 16, 22, 47, 52, 60]"
herbench:ASII_7255,herbench,plain_dpp_8,"[1, 2, 10, 16, 26, 47, 52, 60]"
herbench:ASII_7332,herbench,mdp3_8,"[8, 10, 14, 24, 33, 34, 41, 53]"
herbench:ASII_7332,herbench,plain_dpp_8,"[3, 8, 10, 14, 17, 34, 41, 53]"
herbench:ASII_7413,herbench,mdp3_8,"[8, 10, 14, 24, 33, 34, 41, 53]"
herbench:ASII_7413,herbench,plain_dpp_8,"[3, 8, 10, 14, 17, 34, 41, 53]"
herbench:ASII_9462,herbench,mdp3_8,"[0, 17, 28, 30, 37, 38, 59, 63]"
herbench:ASII_9462,herbench,plain_dpp_8,"[0, 2, 28, 30, 36, 43, 59, 63]"
herbench:ASII_9646,herbench,mdp3_8,"[9, 17, 19, 31, 46, 48, 59, 63]"
herbench:ASII_9646,herbench,plain_dpp_8,"[9, 19, 22, 31, 46, 48, 62, 63]"
herbench:ASII_9781,herbench,mdp3_8,"[9, 17, 19, 31, 46, 48, 59, 63]"
herbench:ASII_9781,herbench,plain_dpp_8,"[9, 19, 22, 31, 46, 48, 62, 63]"
herbench:ASII_9986,herbench,mdp3_8,"[1, 4, 9, 20, 39, 47, 57, 60]"
herbench:ASII_9986,herbench,plain_dpp_8,"[4, 9, 19, 39, 47, 50, 57, 60]"
herbench:FAM_161578,herbench,mdp3_8,"[11, 20, 23, 25, 33, 48, 60, 61]"
herbench:FAM_161578,herbench,plain_dpp_8,"[11, 16, 18, 23, 33, 37, 41, 60]"
herbench:FAM_170582,herbench,mdp3_8,"[0, 13, 14, 21, 28, 31, 40, 59]"
herbench:FAM_170582,herbench,plain_dpp_8,"[0, 13, 14, 21, 27, 30, 31, 37]"
herbench:FAM_180585,herbench,mdp3_8,"[0, 10, 11, 14, 31, 32, 39, 62]"
herbench:FAM_180585,herbench,plain_dpp_8,"[0, 10, 11, 14, 30, 31, 37, 40]"
herbench:FAM_1819,herbench,mdp3_8,"[1, 3, 11, 31, 32, 45, 51, 58]"
herbench:FAM_1819,herbench,plain_dpp_8,"[1, 3, 14, 31, 32, 45, 51, 58]"
herbench:FAM_190593,herbench,mdp3_8,"[5, 19, 24, 25, 37, 47, 53, 63]"
herbench:FAM_190593,herbench,plain_dpp_8,"[5, 18, 19, 24, 25, 27, 39, 53]"
