item_id,source_video_id,scheme,stratum,benchmark
herbench:FOM_365509,P09-20240624-160737,native,False Object Memory,herbench
herbench:FAM_436530,P05-20240425-083515,native,False Action Memory,herbench
herbench:SVA_1631,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:TSO_1903,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Temporal Shot Ordering,herbench
herbench:SVA_4564,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_4943,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_538,P02-20240211-100250,native,False Object Memory,herbench
herbench:AC_1419,P05-20240427-150402,native,Action Counting,herbench
herbench:FOM_1887,P07-20240530-102543,native,False Object Memory,herbench
herbench:SVA_4572,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_0563,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:FOM_338284,P04-20240414-064514,native,False Object Memory,herbench
herbench:TSO_0945,Jurassic Park Trailer,native,Temporal Shot Ordering,herbench
herbench:FAM_436546,P02-20240211-100250,native,False Action Memory,herbench
herbench:TSO_1025,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Temporal Shot Ordering,herbench
herbench:SVA_3839,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Scene Verification & Arrangement,herbench
herbench:FOM_530,P02-20240211-100250,native,False Object Memory,herbench
herbench:SVA_4565,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_3827,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Scene Verification & Arrangement,herbench
herbench:FAM_320737,P01-20240203-184214,native,False Action Memory,herbench
herbench:SVA_2480,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:SVA_1676,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_2245,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_4905,Titanic TBT Trailer 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:FOM_378,P01-20240204-152537,native,False Object Memory,herbench
herbench:AC_6478,P07-20240529-102652,native,Action Counting,herbench
herbench:SVA_0543,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:TSO_1402,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Temporal Shot Ordering,herbench
herbench:FOM_294624,P09-20240623-153253,native,False Object Memory,herbench
herbench:AC_8630,P01-20240204-142301,native,Action Counting,herbench
herbench:SVA_2170,John Wick Official Trailer 1 2014 - Keanu Reeves Willem Dafoe Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_1065,P04-20240414-162242,native,False Object Memory,herbench
herbench:FOM_621,P02-20240211-141313,native,False Object Memory,herbench
herbench:ASII_17340,P07-20240530-102543,native,Action Sequence Integrity Identification,herbench
herbench:AC_8768,P09-20240623-153253,native,Action Counting,herbench
herbench:FOM_377216,P04-20240413-142619,native,False Object Memory,herbench
herbench:FAM_418441,P03-20240217-192543,native,False Action Memory,herbench
herbench:ASII_7255,P01-20240203-121517,native,Action Sequence Integrity Identification,herbench
herbench:FOM_24,P01-20240202-161354,native,False Object Memory,herbench
herbench:SVA_1670,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_4593,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_14912,P07-20240529-191007,native,Action Sequence Integrity Identification,herbench
herbench:SVA_2087,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:FAM_348735,P04-20240414-162242,native,False Action Memory,herbench
herbench:SVA_3407,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_244716,P01-20240202-161354,native,False Object Memory,herbench
herbench:SVA_4844,There Will Be Blood 2007 Official Trailer - Daniel Day-Lewis Paul Dano Movie HD,native,Scene Verification & Arrangement,herbench
herbench:AC_3767,P01-20240203-121517,native,Action Counting,herbench
herbench:FAM_424820,P06-20240510-100047,native,False Action Memory,herbench
herbench:TSO_2136,Werner Herzog Reads Curious George,native,Temporal Shot Ordering,herbench
herbench:FOM_201606,P05-20240427-150402,native,False Object Memory,herbench
herbench:FAM_429104,P09-20240622-162302,native,False Action Memory,herbench
herbench:TSO_0901,John Wick Official Trailer 1 2014 - Keanu Reeves Willem Dafoe Movie HD,native,Temporal Shot Ordering,herbench
herbench:AC_1947,P09-20240622-162302,native,Action Counting,herbench
herbench:SVA_0470,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Scene Verification & Arrangement,herbench
herbench:SVA_4310,The Longest Ride Official Trailer HD 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:SVA_0450,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Scene Verification & Arrangement,herbench
herbench:ASII_10959,P04-20240413-142619,native,Action Sequence Integrity Identification,herbench
herbench:AC_8531,P05-20240425-083515,native,Action Counting,herbench
herbench:FOM_1672,P06-20240510-100047,native,False Object Memory,herbench
herbench:TSO_1920,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Temporal Shot Ordering,herbench
herbench:ASII_2973,P05-20240425-083515,native,Action Sequence Integrity Identification,herbench
herbench:FAM_436540,P07-20240529-191007,native,False Action Memory,herbench
herbench:TSO_0940,Jurassic Park Trailer,native,Temporal Shot Ordering,herbench
herbench:AC_8639,P01-20240204-142301,native,Action Counting,herbench
herbench:SVA_4939,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:TSO_0177,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Temporal Shot Ordering,herbench
herbench:FOM_623,P02-20240211-141313,native,False Object Memory,herbench
herbench:ASII_11726,P05-20240427-150402,native,Action Sequence Integrity Identification,herbench
herbench:FOM_352394,P06-20240511-121048,native,False Object Memory,herbench
herbench:SVA_2487,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:TSO_0684,Groundhog Day Trailer HD,native,Temporal Shot Ordering,herbench
herbench:FAM_431804,P06-20240510-121619,native,False Action Memory,herbench
herbench:FAM_290620,P09-20240624-160737,native,False Action Memory,herbench
herbench:AC_8863,P07-20240530-102543,native,Action Counting,herbench
herbench:SVA_2459,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_4929,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_2222,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:FAM_350758,P09-20240623-153253,native,False Action Memory,herbench
herbench:SVA_4903,Titanic TBT Trailer 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:ASII_5779,P02-20240211-100250,native,Action Sequence Integrity Identification,herbench
herbench:ASII_14494,P02-20240211-100250,native,Action Sequence Integrity Identification,herbench
herbench:SVA_5113,Werner Herzog Reads Curious George,native,Scene Verification & Arrangement,herbench
herbench:SVA_2511,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:AC_993,P04-20240414-162242,native,Action Counting,herbench
herbench:FOM_1676,P06-20240510-100047,native,False Object Memory,herbench
herbench:SVA_1672,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_393304,P06-20240510-100047,native,False Object Memory,herbench
herbench:TSO_0228,Anchorman - The Legend of Ron Burgundy - Trailer,native,Temporal Shot Ordering,herbench
herbench:FAM_380398,P01-20240203-130505,native,False Action Memory,herbench
herbench:SVA_5141,Werner Herzog Reads Curious George,native,Scene Verification & Arrangement,herbench
herbench:AC_6235,P01-20240204-120411,native,Action Counting,herbench
herbench:AC_8623,P01-20240204-120411,native,Action Counting,herbench
herbench:AC_996,P04-20240414-162242,native,Action Counting,herbench
herbench:ASII_17839,P06-20240510-100047,native,Action Sequence Integrity Identification,herbench
herbench:SVA_2085,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:TSO_1592,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Temporal Shot Ordering,herbench
herbench:TSO_1336,Se7en 1995 Official Trailer - Brad Pitt Morgan Freeman Movie HD,native,Temporal Shot Ordering,herbench
herbench:SVA_0547,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:ASII_18702,P08-20240618-163547,native,Action Sequence Integrity Identification,herbench
herbench:FOM_1723,P06-20240510-121619,native,False Object Memory,herbench
herbench:FAM_425735,P06-20240510-121619,native,False Action Memory,herbench
herbench:FOM_1934,P07-20240531-201703,native,False Object Memory,herbench
herbench:SVA_1419,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_405492,P04-20240413-142619,native,False Action Memory,herbench
herbench:SVA_2242,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:AC_1576,P06-20240511-121048,native,Action Counting,herbench
herbench:ASII_14963,P02-20240211-104948,native,Action Sequence Integrity Identification,herbench
herbench:FAM_375172,P07-20240529-194518,native,False Action Memory,herbench
herbench:FAM_371890,P08-20240618-163547,native,False Action Memory,herbench
herbench:ASII_10277,P02-20240211-100250,native,Action Sequence Integrity Identification,herbench
herbench:FAM_421601,P07-20240529-191007,native,False Action Memory,herbench
herbench:FOM_1869,P07-20240529-194518,native,False Object Memory,herbench
herbench:TSO_2017,There Will Be Blood 2007 Official Trailer - Daniel Day-Lewis Paul Dano Movie HD,native,Temporal Shot Ordering,herbench
herbench:TSO_0586,Furious 7 - Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:SVA_2478,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:SVA_2237,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:AC_8779,P09-20240623-153253,native,Action Counting,herbench
herbench:SVA_2239,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:AC_8569,P06-20240510-121619,native,Action Counting,herbench
herbench:SVA_4904,Titanic TBT Trailer 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:TSO_1038,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Temporal Shot Ordering,herbench
herbench:ASII_18442,P08-20240618-163547,native,Action Sequence Integrity Identification,herbench
herbench:AC_8893,P03-20240217-192543,native,Action Counting,herbench
herbench:SVA_2223,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:AC_8561,P01-20240203-130505,native,Action Counting,herbench
herbench:FAM_432650,P07-20240529-194518,native,False Action Memory,herbench
herbench:FAM_342760,P05-20240425-083515,native,False Action Memory,herbench
herbench:ASII_16600,P07-20240529-194518,native,Action Sequence Integrity Identification,herbench
herbench:SVA_3190,Se7en 1995 Official Trailer - Brad Pitt Morgan Freeman Movie HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_18568,P09-20240624-160737,native,Action Sequence Integrity Identification,herbench
herbench:SVA_2508,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:AC_8791,P03-20240216-084005,native,Action Counting,herbench
herbench:SVA_4942,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:AC_356,P01-20240204-152537,native,Action Counting,herbench
herbench:AC_5732,P07-20240529-191007,native,Action Counting,herbench
herbench:FOM_165588,P02-20240211-100250,native,False Object Memory,herbench
herbench:ASII_16038,P01-20240202-161354,native,Action Sequence Integrity Identification,herbench
herbench:SVA_2464,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:FAM_359762,P01-20240204-142301,native,False Action Memory,herbench
herbench:SVA_1393,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_9781,P01-20240203-184214,native,Action Sequence Integrity Identification,herbench
herbench:TSO_2133,Werner Herzog Reads Curious George,native,Temporal Shot Ordering,herbench
herbench:AC_8518,P04-20240415-175615,native,Action Counting,herbench
herbench:FOM_845,P03-20240217-192543,native,False Object Memory,herbench
herbench:TSO_0859,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Temporal Shot Ordering,herbench
herbench:SVA_0461,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Scene Verification & Arrangement,herbench
herbench:AC_325,P01-20240204-142301,native,Action Counting,herbench
herbench:TSO_2070,Toy Story 3 Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:FOM_8982,P01-20240203-121517,native,False Object Memory,herbench
herbench:FOM_341489,P01-20240203-121517,native,False Object Memory,herbench
herbench:SVA_5111,Werner Herzog Reads Curious George,native,Scene Verification & Arrangement,herbench
herbench:FAM_424335,P09-20240622-162302,native,False Action Memory,herbench
herbench:TSO_2061,Toy Story 3 Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:TSO_0949,Jurassic Park Trailer,native,Temporal Shot Ordering,herbench
herbench:FAM_317678,P09-20240623-153253,native,False Action Memory,herbench
herbench:FOM_372462,P01-20240203-184214,native,False Object Memory,herbench
herbench:SVA_3382,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_340388,P01-20240203-121517,native,False Object Memory,herbench
herbench:AC_2665,P09-20240624-160737,native,Action Counting,herbench
herbench:ASII_16769,P02-20240211-104948,native,Action Sequence Integrity Identification,herbench
herbench:ASII_18987,P06-20240510-121619,native,Action Sequence Integrity Identification,herbench
herbench:FOM_286622,P08-20240618-163547,native,False Object Memory,herbench
herbench:ASII_16926,P07-20240529-102652,native,Action Sequence Integrity Identification,herbench
herbench:ASII_13792,P01-20240204-142301,native,Action Sequence Integrity Identification,herbench
herbench:SVA_3381,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_180585,P04-20240413-142619,native,False Action Memory,herbench
herbench:TSO_1919,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Temporal Shot Ordering,herbench
herbench:SVA_3231,Se7en 1995 Official Trailer - Brad Pitt Morgan Freeman Movie HD,native,Scene Verification & Arrangement,herbench
herbench:AC_8803,P02-20240211-141313,native,Action Counting,herbench
herbench:FOM_674,P03-20240216-084005,native,False Object Memory,herbench
herbench:TSO_1400,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Temporal Shot Ordering,herbench
herbench:TSO_1914,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Temporal Shot Ordering,herbench
herbench:FAM_356859,P09-20240624-160737,native,False Action Memory,herbench
herbench:SVA_2413,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:ASII_7332,P04-20240415-175615,native,Action Sequence Integrity Identification,herbench
herbench:AC_8634,P04-20240414-064514,native,Action Counting,herbench
herbench:SVA_4925,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_17898,P06-20240510-100047,native,Action Sequence Integrity Identification,herbench
herbench:ASII_17066,P08-20240618-163547,native,Action Sequence Integrity Identification,herbench
herbench:FAM_309784,P03-20240217-152152,native,False Action Memory,herbench
herbench:SVA_1435,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_384513,P01-20240204-142301,native,False Object Memory,herbench
herbench:FAM_353692,P09-20240624-160737,native,False Action Memory,herbench
herbench:FAM_190593,P05-20240427-150402,native,False Action Memory,herbench
herbench:SVA_4811,There Will Be Blood 2007 Official Trailer - Daniel Day-Lewis Paul Dano Movie HD,native,Scene Verification & Arrangement,herbench
herbench:AC_8868,P07-20240530-102543,native,Action Counting,herbench
herbench:FOM_183599,P03-20240217-152152,native,False Object Memory,herbench
herbench:SVA_0477,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Scene Verification & Arrangement,herbench
herbench:TSO_1579,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Temporal Shot Ordering,herbench
herbench:SVA_0595,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:FOM_2058,P08-20240618-163547,native,False Object Memory,herbench
herbench:SVA_4307,The Longest Ride Official Trailer HD 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:SVA_1675,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_15124,P06-20240511-121048,native,Action Sequence Integrity Identification,herbench
herbench:FOM_397434,P04-20240413-142619,native,False Object Memory,herbench
herbench:FAM_276608,P08-20240618-163547,native,False Action Memory,herbench
herbench:ASII_15343,P02-20240211-104948,native,Action Sequence Integrity Identification,herbench
herbench:SVA_1413,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_13018,P03-20240217-152152,native,Action Sequence Integrity Identification,herbench
herbench:ASII_14919,P01-20240204-152537,native,Action Sequence Integrity Identification,herbench
herbench:SVA_1662,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_12682,P01-20240202-161354,native,Action Sequence Integrity Identification,herbench
herbench:FAM_429589,P01-20240202-161354,native,False Action Memory,herbench
herbench:FOM_185595,P03-20240217-192543,native,False Object Memory,herbench
herbench:TSO_2126,Werner Herzog Reads Curious George,native,Temporal Shot Ordering,herbench
herbench:FOM_399941,P07-20240529-191007,native,False Object Memory,herbench
herbench:FAM_428599,P09-20240622-162302,native,False Action Memory,herbench
herbench:SVA_4590,The Secret Life of Walter Mitty Official Trailer 1 2013 - Ben Stiller Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_393858,P07-20240531-201703,native,False Object Memory,herbench
herbench:FAM_381485,P01-20240203-130505,native,False Action Memory,herbench
herbench:SVA_1437,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_2232,P04-20240414-162242,native,Action Sequence Integrity Identification,herbench
herbench:FAM_351810,P09-20240623-153253,native,False Action Memory,herbench
herbench:SVA_4936,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_161578,P02-20240211-141313,native,False Action Memory,herbench
herbench:SVA_2259,Jurassic Park Trailer,native,Scene Verification & Arrangement,herbench
herbench:AC_8709,P02-20240211-104948,native,Action Counting,herbench
herbench:AC_3301,P02-20240211-100250,native,Action Counting,herbench
herbench:SVA_3379,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_7006,P07-20240531-201703,native,Action Sequence Integrity Identification,herbench
herbench:SVA_4806,There Will Be Blood 2007 Official Trailer - Daniel Day-Lewis Paul Dano Movie HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_2053,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:FAM_528,P02-20240211-100250,native,False Action Memory,herbench
herbench:FAM_535,P02-20240211-100250,native,False Action Memory,herbench
herbench:SVA_0592,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_2066,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:SVA_4898,Titanic TBT Trailer 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:FAM_436543,P08-20240618-163547,native,False Action Memory,herbench
herbench:FAM_436531,P05-20240425-083515,native,False Action Memory,herbench
herbench:SVA_4901,Titanic TBT Trailer 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:AC_8670,P01-20240203-121517,native,Action Counting,herbench
herbench:SVA_1637,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_1722,P06-20240510-121619,native,False Object Memory,herbench
herbench:SVA_0442,A Quiet Place 2018 - Official Trailer - Paramount Pictures,native,Scene Verification & Arrangement,herbench
herbench:TSO_2071,Toy Story 3 Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:AC_8916,P03-20240217-192543,native,Action Counting,herbench
herbench:FOM_1678,P06-20240510-100047,native,False Object Memory,herbench
herbench:SVA_2081,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:SVA_2431,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_3394,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_436536,P06-20240511-121048,native,False Action Memory,herbench
