item_id,benchmark,condition,selected_candidate_indices
lvbench:1621,lvbench,plain_dpp_8,"[2, 11, 18, 22, 30, 35, 49, 57]"
lvbench:1625,lvbench,mdp3_8,"[2, 22, 30, 43, 46, 51, 56, 57]"
lvbench:1625,lvbench,plain_dpp_8,"[2, 4, 22, 30, 31, 43, 46, 57]"
lvbench:1626,lvbench,mdp3_8,"[2, 11, 12, 27, 38, 43, 49, 62]"
lvbench:1626,lvbench,plain_dpp_8,"[0, 2, 11, 12, 27, 29, 38, 62]"
lvbench:1629,lvbench,mdp3_8,"[11, 20, 22, 30, 43, 45, 52, 56]"
lvbench:1629,lvbench,plain_dpp_8,"[11, 20, 22, 30, 43, 45, 52, 56]"
lvbench:1636,lvbench,mdp3_8,"[11, 12, 22, 30, 43, 45, 48, 56]"
lvbench:1636,lvbench,plain_dpp_8,"[12, 22, 30, 43, 45, 46, 53, 56]"
lvbench:1678,lvbench,mdp3_8,"[22, 25, 28, 31, 37, 58, 59, 62]"
lvbench:1678,lvbench,plain_dpp_8,"[22, 25, 28, 31, 37, 58, 59, 62]"
lvbench:1679,lvbench,mdp3_8,"[18, 25, 27, 30, 34, 55, 59, 62]"
lvbench:1679,lvbench,plain_dpp_8,"[18, 25, 34, 38, 43, 55, 59, 62]"
lvbench:1680,lvbench,mdp3_8,"[1, 18, 25, 27, 38, 42, 43, 58]"
lvbench:1680,lvbench,plain_dpp_8,"[1, 18, 22, 25, 27, 38, 43, 58]"
lvbench:1681,lvbench,mdp3_8,"[18, 20, 49, 51, 55, 58, 59, 62]"
lvbench:1681,lvbench,plain_dpp_8,"[5, 18, 20, 22, 49, 54, 58, 59]"
lvbench:1687,lvbench,mdp3_8,"[20, 26, 28, 29, 37, 38, 40, 50]"
lvbench:1687,lvbench,plain_dpp_8,"[20, 23, 26, 28, 29, 37, 38, 40]"
lvbench:1689,lvbench,mdp3_8,"[1, 5, 20, 22, 23, 32, 42, 59]"
lvbench:1689,lvbench,plain_dpp_8,"[1, 5, 20, 23, 32, 42, 58, 59]"
lvbench:1697,lvbench,mdp3_8,"[12, 19, 39, 41, 48, 51, 53, 54]"
lvbench:1697,lvbench,plain_dpp_8,"[12, 19, 39, 41, 48, 51, 53, 54]"
lvbench:17,lvbench,mdp3_8,"[0, 16, 19, 20, 42, 46, 52, 63]"
lvbench:17,lvbench,plain_dpp_8,"[7, 16, 20, 42, 46, 49, 52, 63]"
lvbench:1703,lvbench,mdp3_8,"[22, 25, 26, 38, 54, 58, 60, 62]"
lvbench:1703,lvbench,plain_dpp_8,"[20, 22, 25, 26, 30, 54, 58, 62]"
lvbench:1744,lvbench,mdp3_8,"[5, 8, 27, 41, 46, 47, 59, 63]"
lvbench:1744,lvbench,plain_dpp_8,"[5, 8, 27, 29, 41, 47, 59, 63]"
lvbench:1745,lvbench,mdp3_8,"[5, 7, 26, 29, 32, 46, 47, 52]"
lvbench:1745,lvbench,plain_dpp_8,"[5, 7, 13, 18, 26, 32, 46, 52]"
lvbench:1746,lvbench,mdp3_8,"[9, 15, 18, 28, 32, 38, 43, 57]"
lvbench:1746,lvbench,plain_dpp_8,"[1, 9, 18, 28, 32, 38, 43, 57]"
lvbench:1757,lvbench,mdp3_8,"[5, 7, 22, 29, 38, 40, 45, 46]"
lvbench:1757,lvbench,plain_dpp_8,"[5, 7, 10, 17, 22, 38, 40, 46]"
lvbench:1821,lvbench,mdp3_8,"[1, 4, 13, 17, 29, 36, 37, 45]"
lvbench:1821,lvbench,plain_dpp_8,"[4, 13, 17, 29, 37, 47, 48, 62]"
lvbench:1829,lvbench,mdp3_8,"[2, 6, 13, 17, 23, 32, 36, 62]"
lvbench:1829,lvbench,plain_dpp_8,"[2, 3, 13, 19, 23, 32, 36, 62]"
lvbench:1830,lvbench,mdp3_8,"[3, 11, 31, 43, 47, 57, 59, 60]"
lvbench:1830,lvbench,plain_dpp_8,"[3, 11, 31, 40, 43, 57, 59, 60]"
lvbench:1845,lvbench,mdp3_8,"[2, 10, 13, 29, 32, 34, 50, 57]"
lvbench:1845,lvbench,plain_dpp_8,"[2, 10, 13, 32, 34, 50, 58, 60]"
lvbench:1853,lvbench,mdp3_8,"[1, 6, 10, 12, 34, 36, 44, 63]"
lvbench:1853,lvbench,plain_dpp_8,"[6, 10, 34, 36, 44, 46, 58, 63]"
lvbench:1855,lvbench,mdp3_8,"[0, 4, 5, 6, 12, 35, 36, 45]"
lvbench:1855,lvbench,plain_dpp_8,"[0, 4, 5, 6, 12, 14, 18, 45]"
lvbench:1856,lvbench,mdp3_8,"[1, 4, 6, 31, 36, 42, 56, 58]"
lvbench:1856,lvbench,plain_dpp_8,"[4, 5, 6, 31, 36, 45, 56, 58]"
lvbench:1861,lvbench,mdp3_8,"[1, 21, 31, 36, 44, 45, 56, 63]"
lvbench:1861,lvbench,plain_dpp_8,"[11, 13, 25, 31, 36, 44, 45, 63]"
lvbench:1886,lvbench,mdp3_8,"[1, 13, 27, 28, 30, 39, 43, 61]"
lvbench:1886,lvbench,plain_dpp_8,"[1, 10, 13, 27, 28, 30, 39, 63]"
lvbench:1890,lvbench,mdp3_8,"[3, 19, 20, 21, 41, 42, 58, 63]"
lvbench:1890,lvbench,plain_dpp_8,"[2, 3, 10, 19, 20, 21, 41, 63]"
lvbench:1896,lvbench,mdp3_8,"[4, 19, 26, 30, 39, 52, 54, 63]"
lvbench:1896,lvbench,plain_dpp_8,"[4, 10, 18, 19, 30, 39, 52, 63]"
lvbench:19,lvbench,mdp3_8,"[3, 7, 19, 21, 42, 53, 54, 60]"
lvbench:19,lvbench,plain_dpp_8,"[7, 19, 21, 42, 52, 53, 54, 60]"
lvbench:1900,lvbench,mdp3_8,"[2, 27, 31, 35, 36, 37, 41, 50]"
lvbench:1900,lvbench,plain_dpp_8,"[27, 28, 33, 35, 37, 39, 41, 50]"
lvbench:1904,lvbench,mdp3_8,"[4, 21, 24, 30, 39, 41, 54, 60]"
lvbench:1904,lvbench,plain_dpp_8,"[4, 10, 19, 30, 35, 39, 41, 60]"
lvbench:1907,lvbench,mdp3_8,"[4, 10, 17, 23, 41, 50, 54, 63]"
lvbench:1907,lvbench,plain_dpp_8,"[1, 4, 10, 17, 32, 41, 50, 63]"
lvbench:1909,lvbench,mdp3_8,"[10, 11, 17, 20, 23, 43, 50, 63]"
lvbench:1909,lvbench,plain_dpp_8,"[6, 11, 17, 20, 23, 43, 50, 63]"
lvbench:1915,lvbench,mdp3_8,"[0, 2, 6, 11, 17, 41, 62, 63]"
lvbench:1915,lvbench,plain_dpp_8,"[2, 6, 9, 14, 17, 25, 41, 63]"
lvbench:1928,lvbench,mdp3_8,"[9, 20, 27, 28, 49, 50, 53, 60]"
lvbench:1928,lvbench,plain_dpp_8,"[12, 20, 27, 28, 39, 50, 53, 60]"
lvbench:1934,lvbench,mdp3_8,"[0, 11, 12, 16, 39, 41, 49, 51]"
lvbench:1934,lvbench,plain_dpp_8,"[0, 11, 21, 34, 39, 40, 45, 49]"
lvbench:1937,lvbench,mdp3_8,"[2, 9, 12, 16, 39, 49, 58, 61]"
lvbench:1937,lvbench,plain_dpp_8,"[2, 9, 16, 21, 39, 45, 49, 54]"
lvbench:1955,lvbench,mdp3_8,"[6, 8, 18, 41, 43, 45, 54, 63]"
lvbench:1955,lvbench,plain_dpp_8,"[18, 32, 41, 43, 45, 52, 54, 63]"
lvbench:1957,lvbench,mdp3_8,"[0, 6, 18, 23, 30, 48, 54, 63]"
lvbench:1957,lvbench,plain_dpp_8,"[0, 6, 18, 28, 32, 48, 54, 63]"
lvbench:1958,lvbench,mdp3_8,"[0, 7, 8, 21, 43, 46, 47, 63]"
lvbench:1958,lvbench,plain_dpp_8,"[7, 21, 43, 46, 47, 59, 61, 63]"
lvbench:1964,lvbench,mdp3_8,"[3, 8, 18, 28, 36, 39, 51, 63]"
lvbench:1964,lvbench,plain_dpp_8,"[3, 8, 9, 18, 28, 36, 60, 63]"
lvbench:1965,lvbench,mdp3_8,"[3, 4, 5, 6, 44, 47, 56, 61]"
lvbench:1965,lvbench,plain_dpp_8,"[3, 5, 6, 28, 44, 47, 56, 63]"
lvbench:202,lvbench,mdp3_8,"[14, 20, 25, 35, 37, 39, 40, 55]"
lvbench:202,lvbench,plain_dpp_8,"[2, 14, 19, 20, 25, 27, 40, 55]"
lvbench:2076,lvbench,mdp3_8,"[4, 7, 16, 43, 50, 52, 54, 55]"
lvbench:2076,lvbench,plain_dpp_8,"[26, 40, 43, 50, 52, 54, 55, 62]"
lvbench:2079,lvbench,mdp3_8,"[1, 25, 28, 30, 36, 43, 50, 58]"
lvbench:2079,lvbench,plain_dpp_8,"[1, 11, 25, 34, 36, 43, 50, 58]"
lvbench:2084,lvbench,mdp3_8,"[3, 11, 41, 45, 46, 50, 60, 62]"
lvbench:2084,lvbench,plain_dpp_8,"[11, 41, 45, 46, 50, 56, 60, 62]"
lvbench:2093,lvbench,mdp3_8,"[25, 29, 31, 40, 56, 58, 61, 62]"
lvbench:2093,lvbench,plain_dpp_8,"[6, 25, 31, 56, 58, 60, 61, 62]"
lvbench:2096,lvbench,mdp3_8,"[7, 32, 44, 52, 54, 56, 58, 62]"
lvbench:2096,lvbench,plain_dpp_8,"[7, 9, 31, 32, 44, 54, 56, 62]"
lvbench:2097,lvbench,mdp3_8,"[5, 9, 29, 31, 44, 46, 51, 62]"
lvbench:2097,lvbench,plain_dpp_8,"[3, 5, 9, 29, 30, 31, 44, 62]"
lvbench:2099,lvbench,mdp3_8,"[8, 24, 25, 40, 55, 57, 61, 62]"
lvbench:2099,lvbench,plain_dpp_8,"[8, 18, 24, 25, 28, 30, 57, 61]"
lvbench:21,lvbench,mdp3_8,"[4, 14, 40, 42, 48, 52, 53, 60]"
lvbench:21,lvbench,plain_dpp_8,"[3, 14, 20, 40, 42, 48, 53, 60]"
lvbench:2113,lvbench,mdp3_8,"[0, 13, 25, 29, 36, 44, 51, 58]"
lvbench:2113,lvbench,plain_dpp_8,"[0, 7, 13, 25, 31, 36, 44, 58]"
lvbench:2119,lvbench,mdp3_8,"[6, 23, 29, 31, 45, 48, 60, 63]"
lvbench:2119,lvbench,plain_dpp_8,"[6, 23, 29, 31, 45, 48, 60, 63]"
lvbench:2120,lvbench,mdp3_8,"[0, 3, 9, 30, 57, 58, 61, 62]"
lvbench:2120,lvbench,plain_dpp_8,"[0, 3, 30, 57, 58, 60, 61, 62]"
lvbench:2157,lvbench,mdp3_8,"[4, 5, 7, 10, 15, 36, 50, 59]"
lvbench:2157,lvbench,plain_dpp_8,"[4, 5, 7, 10, 18, 36, 50, 59]"
lvbench:2164,lvbench,mdp3_8,"[6, 10, 11, 24, 36, 39, 47, 50]"
lvbench:2164,lvbench,plain_dpp_8,"[6, 11, 18, 24, 36, 47, 50, 62]"
lvbench:2166,lvbench,mdp3_8,"[4, 10, 11, 32, 34, 36, 45, 60]"
lvbench:2166,lvbench,plain_dpp_8,"[4, 32, 34, 36, 45, 48, 50, 60]"
lvbench:2174,lvbench,mdp3_8,"[2, 4, 18, 27, 35, 43, 45, 47]"
lvbench:2174,lvbench,plain_dpp_8,"[2, 16, 18, 27, 35, 43, 45, 47]"
lvbench:2175,lvbench,mdp3_8,"[5, 16, 24, 27, 45, 50, 60, 62]"
lvbench:2175,lvbench,plain_dpp_8,"[23, 26, 27, 45, 49, 50, 60, 62]"
lvbench:2176,lvbench,mdp3_8,"[12, 20, 48, 49, 51, 53, 54, 59]"
lvbench:2176,lvbench,plain_dpp_8,"[12, 48, 49, 51, 52, 53, 54, 59]"
lvbench:2179,lvbench,mdp3_8,"[5, 15, 16, 40, 43, 44, 45, 62]"
lvbench:2179,lvbench,plain_dpp_8,"[15, 16, 23, 31, 43, 44, 45, 62]"
lvbench:218,lvbench,mdp3_8,"[7, 21, 27, 40, 43, 44, 47, 55]"
lvbench:218,lvbench,plain_dpp_8,"[7, 19, 27, 35, 40, 44, 47, 55]"
lvbench:2245,lvbench,mdp3_8,"[5, 8, 10, 15, 18, 45, 56, 63]"
lvbench:2245,lvbench,plain_dpp_8,"[5, 10, 15, 38, 44, 48, 58, 63]"
lvbench:2248,lvbench,mdp3_8,"[1, 5, 10, 14, 21, 37, 38, 41]"
lvbench:2248,lvbench,plain_dpp_8,"[1, 5, 10, 14, 21, 37, 38, 54]"
lvbench:2250,lvbench,mdp3_8,"[7, 12, 17, 32, 48, 52, 58, 63]"
lvbench:2250,lvbench,plain_dpp_8,"[12, 17, 19, 32, 48, 52, 58, 63]"
lvbench:2256,lvbench,mdp3_8,"[1, 15, 30, 31, 32, 43, 50, 63]"
lvbench:2256,lvbench,plain_dpp_8,"[15, 30, 32, 37, 48, 50, 60, 63]"
lvbench:2259,lvbench,mdp3_8,"[11, 12, 15, 21, 32, 54, 57, 63]"
lvbench:2259,lvbench,plain_dpp_8,"[11, 12, 21, 32, 37, 54, 57, 63]"
lvbench:2262,lvbench,mdp3_8,"[1, 12, 13, 17, 32, 44, 50, 52]"
lvbench:2262,lvbench,plain_dpp_8,"[1, 12, 17, 19, 32, 44, 50, 52]"
lvbench:2265,lvbench,mdp3_8,"[18, 19, 27, 31, 37, 38, 41, 55]"
lvbench:2265,lvbench,plain_dpp_8,"[5, 18, 27, 31, 37, 38, 41, 55]"
lvbench:2268,lvbench,mdp3_8,"[1, 2, 21, 30, 32, 37, 50, 60]"
lvbench:2268,lvbench,plain_dpp_8,"[1, 21, 30, 32, 37, 44, 50, 60]"
lvbench:2271,lvbench,mdp3_8,"[1, 4, 5, 12, 37, 44, 48, 52]"
lvbench:2271,lvbench,plain_dpp_8,"[1, 4, 5, 14, 19, 38, 48, 52]"
lvbench:2283,lvbench,mdp3_8,"[0, 12, 18, 22, 41, 56, 58, 60]"
lvbench:2283,lvbench,plain_dpp_8,"[0, 4, 18, 22, 26, 41, 58, 60]"
lvbench:2286,lvbench,mdp3_8,"[9, 23, 29, 33, 36, 41, 50, 52]"
lvbench:2286,lvbench,plain_dpp_8,"[9, 29, 33, 36, 41, 50, 52, 62]"
lvbench:2290,lvbench,mdp3_8,"[7, 28, 31, 34, 41, 43, 50, 54]"
lvbench:2290,lvbench,plain_dpp_8,"[26, 28, 31, 33, 34, 41, 50, 54]"
lvbench:2291,lvbench,mdp3_8,"[3, 4, 5, 16, 18, 55, 60, 61]"
lvbench:2291,lvbench,plain_dpp_8,"[3, 4, 5, 16, 18, 56, 60, 61]"
lvbench:2293,lvbench,mdp3_8,"[4, 11, 23, 29, 41, 53, 58, 60]"
lvbench:2293,lvbench,plain_dpp_8,"[4, 22, 29, 41, 53, 56, 58, 60]"
lvbench:2303,lvbench,mdp3_8,"[1, 4, 18, 19, 23, 26, 47, 58]"
lvbench:2303,lvbench,plain_dpp_8,"[1, 4, 18, 19, 20, 23, 26, 58]"
lvbench:2362,lvbench,mdp3_8,"[4, 14, 19, 28, 41, 44, 50, 51]"
lvbench:2362,lvbench,plain_dpp_8,"[4, 14, 28, 41, 44, 50, 51, 62]"
lvbench:2370,lvbench,mdp3_8,"[4, 14, 16, 19, 21, 44, 50, 63]"
lvbench:2370,lvbench,plain_dpp_8,"[4, 10, 14, 44, 50, 55, 62, 63]"
lvbench:2376,lvbench,mdp3_8,"[4, 5, 14, 19, 28, 41, 42, 50]"
lvbench:2376,lvbench,plain_dpp_8,"[4, 5, 14, 28, 38, 41, 42, 50]"
lvbench:2390,lvbench,mdp3_8,"[4, 19, 28, 42, 44, 49, 50, 59]"
lvbench:2390,lvbench,plain_dpp_8,"[4, 17, 29, 42, 44, 49, 50, 59]"
lvbench:2394,lvbench,mdp3_8,"[1, 2, 4, 13, 14, 30, 34, 53]"
lvbench:2394,lvbench,plain_dpp_8,"[1, 2, 4, 13, 14, 19, 30, 53]"
lvbench:2407,lvbench,mdp3_8,"[4, 13, 20, 23, 34, 35, 48, 62]"
lvbench:2407,lvbench,plain_dpp_8,"[4, 13, 23, 34, 35, 47, 48, 62]"
lvbench:2413,lvbench,mdp3_8,"[11, 13, 23, 29, 36, 47, 60, 62]"
lvbench:2413,lvbench,plain_dpp_8,"[1, 2, 11, 13, 29, 47, 60, 62]"
lvbench:2453,lvbench,mdp3_8,"[1, 9, 10, 24, 36, 46, 47, 59]"
lvbench:2453,lvbench,plain_dpp_8,"[1, 4, 9, 10, 24, 31, 46, 59]"
lvbench:2455,lvbench,mdp3_8,"[0, 2, 3, 18, 24, 36, 60, 62]"
lvbench:2455,lvbench,plain_dpp_8,"[0, 2, 3, 14, 24, 36, 46, 60]"
lvbench:2456,lvbench,mdp3_8,"[6, 9, 10, 18, 24, 46, 50, 56]"
lvbench:2456,lvbench,plain_dpp_8,"[3, 6, 9, 10, 18, 24, 46, 55]"
lvbench:2459,lvbench,mdp3_8,"[3, 9, 22, 24, 36, 40, 46, 47]"
lvbench:2459,lvbench,plain_dpp_8,"[3, 9, 24, 36, 40, 46, 57, 59]"
lvbench:2468,lvbench,mdp3_8,"[9, 10, 18, 24, 46, 47, 49, 61]"
lvbench:2468,lvbench,plain_dpp_8,"[1, 9, 10, 18, 24, 46, 47, 49]"
lvbench:2479,lvbench,mdp3_8,"[1, 8, 10, 18, 42, 48, 51, 62]"
lvbench:2479,lvbench,plain_dpp_8,"[1, 4, 24, 44, 46, 48, 51, 62]"
lvbench:2480,lvbench,mdp3_8,"[2, 8, 18, 39, 41, 48, 50, 51]"
